pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
6,COL057,GIMALXINA 1 SUSP 250MG/5/75 ML,26240167,2030-04-21,1,191.97,27.09,27.09,27.09
6,MAV226,CLAMOXIN S 1 SUSP 600/42.90MG/50 ML,256303,2027-11-01,1,291.00,47.99,47.99,47.99
6,MAV011,CLAMOXIN 1 SUSP 125/31.25MG/5/60 ML,260577,2028-02-01,1,168.00,27.89,27.89,27.89
6,MAV013,CLAMOXIN 12H PED 1 SUSP 200/28.5MG/40,257267,2028-01-01,1,156.00,25.94,25.94,25.94
6,SON192,ASPITAK-P 30 COMP 100 MG,26051262,2028-05-01,2,166.00,19.72,39.44,39.44
6,ULT201,ACEMETACINA 14 CAPS 90 MG,6CN266C,2029-03-30,1,502.30,51.43,51.43,51.43
7,MAV290,BENEVENTOL 6 CAPS 400 MG,255831,2027-10-01,1,738.00,146.11,146.11,146.11
7,MAI026,LESACLOR (MACLOV) 35 TAB 400 MG,531964,2028-10-01,1,415.70,72.03,72.03,72.03
7,AMS359,AMOXICILINA 1 SUSP 500MG/5/75 ML,Q0626334,2028-06-30,1,100.00,23.57,23.57,23.57
7,COL056,GIMALXINA 12 CAPS 500 MG,26240134,2029-03-31,2,146.29,23.68,47.36,47.36
7,AMS297,ACICLOVIR 35 TAB 400 MG,U26F020,2029-02-01,1,240.00,64.09,64.09,64.09
7,NOV094,OXIVAG 4 TAB 70 MG,650086,2028-02-01,1,440.00,31.94,31.94,31.94
